"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"08/05/2016","14:00","Racing Spirit","Ludlow","3","16/1","16.00","27.43","14.00","-48.96","1000.00","3545.64","21.00","21.00","29.00","2.62","Hurdle"
"08/05/2016","14:30","Wild Rover","Ludlow","1","3/1","3.00","4.91","1.01","-79.43","55.00","1020.16","6.50","6.00","5.00","2.30","Chase"
"08/05/2016","14:30","Royalraise","Ludlow","2","9/4","2.25","3.17","1.02","-67.82","400.00","12518.30","3.25","2.63","3.00","1.88","Chase"
"08/05/2016","16:20","Indian Fairy","Limerick","3","9/2","4.50","5.76","2.16","-62.50","1000.00","17261.11","3.00","3.75","4.00","2.13","Chase"
"08/05/2016","16:20","Definite Ruby","Limerick","2","8/11","0.73","1.95","1.04","-46.67","1000.00","51182.05","2.38","1.91","1.95","1.27","Chase"
"08/05/2016","17:00","Here I Am","Plumpton","5","13/8","1.63","2.74","2.00","-27.01","1000.00","36396.35","3.50","3.75","4.00","1.37","Chase"
"08/05/2016","17:00","Like Sully","Plumpton","1","7/2","3.50","5.33","1.01","-81.05","8.40","57.60","7.00","12.00","11.00","1.65","Chase"
"09/05/2016","13:50","Bonnie Arlene","Brighton","4","10/1","10.00","15.30","11.50","-24.84","1000.00","6435.95","5.00","8.50","7.50","4.30","Turf"
"09/05/2016","14:20","Let There Be Light","Brighton","1","5/1","5.00","7.40","1.01","-86.35","11.50","55.41","11.00","10.00","6.50","3.15","Turf"
"09/05/2016","14:40","Wheneverwecan","Musselburgh","1","3/1","3.00","4.12","1.01","-75.49","36.00","773.79","5.50","5.50","5.50","1.95","Turf"
"09/05/2016","14:50","Subtle Knife","Brighton","3","5/2","2.50","3.89","3.50","-10.03","1000.00","25606.94","4.00","4.33","3.50","1.81","Turf"
"09/05/2016","14:50","Gleaming Girl","Brighton","2","7/4","1.75","3.05","1.51","-50.49","220.00","7113.11","3.50","3.50","3.25","1.70","Turf"
"09/05/2016","15:20","Lord Of The Storm","Brighton","4","3/1","3.00","5.01","4.00","-20.16","1000.00","19860.08","3.75","4.00","4.50","2.38","Turf"
