"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"29/10/2016","16:55","Work In Progress","Ayr","6","15/8","1.88","2.95","1.95","-33.90","1000.00","33798.31","17.30","3.50","3.50","3.50","1.63","Hurdle"
"03/11/2016","14:55","Milrow","Musselburgh","3","11/8","1.38","2.56","1.91","-25.39","1000.00","38962.50","6.00","2.00","2.20","2.20","1.59","Hurdle"
"03/11/2016","15:30","Seefood","Musselburgh","1","13/8","1.63","2.73","1.01","-63.00","3.85","41.03","17.50","3.00","3.00","3.00","1.70","Chase"
"09/11/2016","13:10","Miss Maiden Over","Ayr","1","10/1","10.00","12.14","1.01","-91.68","20.00","64.74","36.00","26.00","19.00","23.00","2.75","Hurdle"
"09/11/2016","13:40","Viva Steve","Ayr","1","11/8","1.38","2.53","1.01","-60.08","2.74","8.30","8.55","3.25","3.25","2.87","1.57","Chase"
"26/11/2016","14:55","Irving","Newcastle","1","6/1","6.00","8.00","1.08","-86.50","210.00","2525.00","55.50","5.50","6.00","7.50","3.65","Hurdle"
"26/11/2016","15:30","Virak","Newcastle","6","7/1","7.00","7.58","6.20","-18.21","1000.00","13092.61","12.25","6.50","6.50","8.00","2.20","Chase"
"28/11/2016","13:50","Plead","Newcastle","3","25/1","25.00","50.00","17.50","-65.00","1000.00","1900.00","13.00","15.00","15.00","21.00","7.01","A/W"
"04/12/2016","12:50","Westren Warrior","Kelso","2","11/4","2.75","3.95","3.80","-3.80","860.00","21672.15","13.25","8.00","8.00","8.00","1.93","Chase"
"04/12/2016","12:50","Aux Ptits Soins","Kelso","1","6/4","1.50","2.75","1.01","-63.27","3.05","10.91","2.25","1.72","1.72","1.90","1.68","Chase"
"04/12/2016","14:20","Royale Knight","Kelso","4","13/2","6.50","8.60","4.40","-48.84","1000.00","11527.91","34.50","8.00","7.50","7.00","2.99","Chase"
"04/12/2016","14:50","Aerial","Kelso","4","9/2","4.50","6.07","4.80","-20.92","1000.00","16374.46","0.00","5.00","5.00","4.33","1.99","Chase"
"08/12/2016","14:20","Annie Alainn","Newcastle","1","3/1","3.00","4.30","1.01","-76.51","10.00","132.56","0.00","4.50","4.50","4.50","1.66","Hurdle"
"17/12/2016","13:45","Pemba","Newcastle","FE","7/2","3.50","6.05","3.95","-34.71","1000.00","16428.93","15.00","2.75","2.75","3.25","2.90","Chase"
"19/12/2016","12:50","Capitoul","Ayr","1","9/2","4.50","7.00","1.01","-85.57","7.60","8.57","0.00","4.50","4.50","5.00","1.74","Hurdle"
"19/12/2016","14:30","West Of The Edge","Ayr","2","4/5","0.80","1.74","1.06","-39.08","1000.00","57371.26","0.00","2.50","2.37","2.20","1.21","Hurdle"
"30/12/2016","12:50","Juan Horsepower","Newcastle","2","11/4","2.75","3.72","1.40","-62.37","1000.00","26781.72","0.00","5.00","5.50","5.50","2.13","A/W"
"30/12/2016","12:50","Metronomic","Newcastle","4","6/1","6.00","7.26","6.80","-6.34","1000.00","13674.10","2.15","10.00","9.50","9.50","3.44","A/W"
"01/01/2017","12:30","Does It In Style","Musselburgh","4","22/1","22.00","30.00","20.00","-33.33","1000.00","3233.33","0.00","11.00","11.00","11.00","11.00","Hurdle"
"01/01/2017","13:40","Pain Au Chocolat","Musselburgh","PU","4/1","4.00","5.90","5.00","-15.25","1000.00","16849.15","12.00","6.00","6.00","6.00","2.24","Chase"
"01/01/2017","14:50","Superb Story","Musselburgh","1","11/8","1.38","2.54","1.01","-60.24","2.54","0.00","0.00","3.00","3.00","3.00","1.50","Hurdle"
"03/01/2017","16:10","Alkashaaf","Newcastle","3","9/2","4.50","5.48","4.00","-27.01","800.00","14498.54","0.00","10.00","9.00","5.00","2.82","A/W"
