"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"16/06/2016","16:05","Blind Faith","Chelmsford City","1","7/4","1.75","2.98","1.01","-66.11","3.35","12.42","0.00","3.25","4.50","6.50","1.84","A/W"
"17/06/2016","14:30","Cuff","Ascot","5","2/1","2.00","3.41","2.10","-38.42","1000.00","29225.51","0.00","3.50","3.50","3.50","1.79","Turf"
"17/06/2016","16:20","Jet Setting","Ascot","6","9/4","2.25","4.30","3.00","-30.23","1000.00","23155.81","0.00","3.00","3.00","3.50","1.93","Turf"
"18/06/2016","16:10","Ridge Ranger","Ayr","4","5/2","2.50","3.73","1.87","-49.87","1000.00","26709.65","0.50","2.75","3.25","3.25","1.56","Turf"
"22/06/2016","16:10","Eternally","Carlisle","3","11/4","2.75","3.93","1.83","-53.44","1000.00","25345.29","0.00","3.50","3.00","2.75","1.61","Turf"
"22/06/2016","19:40","Lexington Sky","Bath","2","9/2","4.50","6.40","1.80","-71.88","1000.00","15525.00","0.00","6.00","7.00","8.00","1.86","Turf"
"23/06/2016","18:10","Fanfair","Newbury","5","8/1","8.00","10.00","4.00","-60.00","1000.00","9900.00","8.35","11.00","11.00","11.00","3.10","Turf"
"23/06/2016","18:40","Naifah","Newbury","2","6/5","1.20","2.32","1.66","-28.45","1000.00","43003.45","1.00","2.10","2.20","2.20","1.20","Turf"
"24/06/2016","18:20","Amathyst","Newmarket","3","12/1","12.00","15.16","3.00","-80.21","1000.00","6496.31","6.45","13.00","15.00","11.00","2.79","Turf"
"24/06/2016","19:05","Miss Danby","Chester","4","4/1","4.00","6.48","2.80","-56.79","1000.00","15332.10","0.00","4.00","4.33","4.50","3.10","Turf"
"24/06/2016","19:45","Nezwaah","Newcastle","1","3/1","3.00","4.60","1.01","-78.04","12.50","171.74","1.55","5.00","3.75","3.75","2.16","A/W"
"25/06/2016","13:50","Megan Lily","Chester","10","9/4","2.25","3.50","3.30","-5.71","1000.00","28471.43","9.25","3.50","3.00","3.25","1.58","Turf"
"25/06/2016","14:20","Queen's Code","Chester","5","5/1","5.00","7.27","3.10","-57.36","1000.00","13655.16","9.00","11.00","11.00","9.50","1.81","Turf"
"25/06/2016","14:45","Bateel","Newmarket","1","8/11","0.73","1.81","1.01","-44.20","5.20","187.29","2.05","2.25","2.00","1.73","1.39","Turf"
"25/06/2016","15:20","Marie Of Lyon","Newmarket","3","9/4","2.25","3.50","1.75","-50.00","1000.00","28471.43","0.00","4.00","4.50","4.50","1.71","Turf"
"26/06/2016","14:10","Dame Judi","Windsor","5","10/11","0.90","1.91","1.57","-17.80","1000.00","52256.02","4.45","1.57","2.00","2.00","1.11","Turf"
"30/06/2016","14:20","Boater","Yarmouth","3","11/4","2.75","3.66","2.50","-31.69","1000.00","27222.40","0.60","2.50","2.88","3.00","1.46","Turf"
"30/06/2016","14:30","Miss Infinity","Haydock","1","11/4","2.75","4.13","1.01","-75.54","4.30","4.12","0.00","2.50","3.00","3.00","1.50","Turf"
"30/06/2016","18:25","In The Spotlight","Newbury","8","4/1","4.00","5.90","5.60","-5.08","1000.00","16849.15","0.00","8.00","4.50","3.25","2.34","Turf"
"02/07/2016","14:15","Loving Things","Haydock","3","4/1","4.00","5.20","4.00","-23.08","1000.00","19130.77","0.00","7.50","7.00","7.00","1.95","Turf"
"02/07/2016","15:10","Snow Moon","Sandown","4","11/4","2.75","4.10","2.38","-41.95","1000.00","24290.24","5.00","4.50","4.50","4.33","1.69","Turf"
"05/07/2016","15:10","Clotilde","Pontefract","11","6/1","6.00","7.80","7.00","-10.26","1000.00","12720.51","2.00","6.50","6.00","6.00","2.84","Turf"
"07/07/2016","16:20","Believable","Newmarket","7","5/2","2.50","3.45","2.34","-32.17","1000.00","28885.51","0.00","3.50","3.75","4.00","1.68","Turf"
"07/07/2016","16:55","Tropical Rock","Newmarket","2","11/4","2.75","4.00","2.60","-35.00","1000.00","24900.00","3.75","4.50","5.00","5.00","1.33","Turf"
"07/07/2016","17:30","Lumiere","Newmarket","1","3/1","3.00","4.20","1.01","-75.95","5.10","21.43","31.80","4.50","4.50","4.50","2.21","Turf"
"08/07/2016","15:45","Roly Poly","Newmarket","1","6/1","6.00","7.90","1.01","-87.22","18.00","127.85","0.00","6.50","6.00","7.50","2.26","Turf"
"08/07/2016","16:00","Besharah","York","2","11/4","2.75","4.00","1.25","-68.75","1000.00","24900.00","8.60","4.50","4.33","4.50","1.74","Turf"
"08/07/2016","16:15","Usherette","Newmarket","6","11/10","1.10","2.23","2.06","-7.62","1000.00","44743.05","0.00","1.61","1.61","1.67","1.31","Turf"
"09/07/2016","14:15","Dabyah","Newmarket","1","3/1","3.00","4.30","1.01","-76.51","4.70","9.30","0.00","4.50","4.50","5.00","1.83","Turf"
"09/07/2016","15:15","Toormore","Ascot","8","9/2","4.50","7.16","3.05","-57.40","1000.00","13866.48","2.50","4.50","5.50","6.00","2.33","Turf"
"09/07/2016","15:50","Paulownia","Ascot","1","11/4","2.75","4.00","1.01","-74.75","8.00","100.00","2.75","2.63","2.75","3.00","1.65","Turf"
"09/07/2016","18:15","Baie D'Amour","Hamilton","2","6/5","1.20","2.27","1.40","-38.33","1000.00","43952.86","0.00","6.00","5.00","3.50","1.51","Turf"
"11/07/2016","14:15","Boater","Chelmsford City","4","Evens","1.00","2.23","2.24","0.45","1000.00","44743.05","2.75","1.67","2.20","2.10","1.15","A/W"
"15/07/2016","14:30","Partitia","Newbury","10","5/2","2.50","3.59","2.88","-19.78","1000.00","27755.15","0.00","6.00","3.50","3.13","1.68","Turf"
"15/07/2016","19:00","La Salesse","Pontefract","7","100/30","3.33","4.44","3.95","-11.04","1000.00","22422.52","5.40","5.50","5.50","5.00","1.75","Turf"
"16/07/2016","14:35","Climax","Ripon","4","7/2","3.50","4.50","2.46","-45.33","1000.00","22122.22","4.20","4.00","4.50","7.00","1.83","Turf"
"16/07/2016","15:50","Shall We","Newmarket","7","3/1","3.00","4.50","3.80","-15.56","1000.00","22122.22","3.00","5.00","5.00","4.33","1.62","Turf"
"18/07/2016","17:45","Tropical Rock","Windsor","1","2/9","0.22","1.25","1.01","-19.20","1.60","28.00","2.00","1.40","1.40","1.36","1.04","Turf"
"20/07/2016","15:40","Camargue","Bath","2","5/2","2.50","3.90","1.17","-70.00","1000.00","25541.03","5.00","4.33","5.00","7.00","1.62","Turf"
"21/07/2016","15:05","On Her Toes","Sandown","1","5/2","2.50","4.10","1.01","-75.37","36.00","778.05","0.00","3.75","4.00","3.75","2.08","Turf"
"22/07/2016","13:50","Sitaarah","Ascot","6","11/4","2.75","3.80","3.70","-2.63","1000.00","26215.79","0.00","4.50","5.00","6.00","2.10","Turf"
