"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"19/05/2016","18:15","Zig Zag Girl","Ripon","4","5/6","0.83","1.91","1.28","-32.98","1000.00","52256.02","2.25","2.10","1.91","1.24","Turf"
"19/05/2016","20:25","Regal Monarch","Ripon","1","1/3","0.33","1.36","1.01","-25.74","1.58","16.18","2.00","2.10","2.00","1.16","Turf"
"20/05/2016","13:50","Nazik","Goodwood","6","6/1","6.00","7.60","7.60","0.00","1000.00","13057.89","4.50","4.50","4.00","3.20","Turf"
"20/05/2016","15:30","Prize Money","Goodwood","2","Evens","1.00","2.16","1.15","-46.76","1000.00","46196.30","2.25","2.00","2.00","1.31","Turf"
"20/05/2016","18:40","Wheneverwecan","Catterick","PU","5/2","2.50","3.70","3.60","-2.70","1000.00","26927.03","2.38","2.63","2.50","1.57","Turf"
"20/05/2016","19:15","Penmore Mill","Stratford","1","2/1","2.00","3.27","1.01","-69.11","8.00","144.65","4.50","3.00","3.00","1.62","Chase"
"20/05/2016","19:40","Rusty Rocket","Catterick","6","9/2","4.50","5.78","4.10","-29.07","1000.00","17201.04","4.50","4.00","4.50","2.69","Turf"
"20/05/2016","20:25","Shake It Up","Downpatrick","3","6/4","1.50","2.53","1.60","-36.76","1000.00","39425.69","3.75","2.63","3.00","1.58","Chase"
"20/05/2016","20:30","Superyacht","Haydock","3","4/7","0.57","1.58","1.15","-27.22","1000.00","63191.14","1.95","1.95","1.83","1.25","Turf"
"21/05/2016","15:30","Linguistic","Newmarket","2","4/7","0.57","1.65","1.08","-34.55","380.00","22930.30","2.38","1.73","1.73","1.17","Turf"
"21/05/2016","16:00","Romantic View","Goodwood","1","11/8","1.38","2.63","1.01","-61.60","2.70","2.66","2.63","2.50","2.50","1.36","Turf"
"21/05/2016","16:20","Masham Star","York","3","7/4","1.75","2.91","1.22","-58.08","1000.00","34264.26","2.38","2.63","3.00","1.30","Turf"
"21/05/2016","16:40","Clear Water","Newmarket","1","15/8","1.88","2.78","1.01","-63.67","2.88","3.60","2.25","2.25","2.25","1.40","Turf"
"21/05/2016","17:40","Galileo Gold","Curragh","2","5/4","1.25","2.18","1.88","-13.76","1000.00","45771.56","2.75","2.63","2.75","1.31","Turf"
"21/05/2016","17:50","Tomily","Chepstow","1","2/5","0.40","1.44","1.01","-29.86","1.60","11.11","1.67","1.40","1.40","1.12","Turf"
"21/05/2016","18:05","The Outlaw","Stratford","3","Evens","1.00","2.00","1.56","-22.00","1000.00","49900.00","1.80","1.70","1.73","1.37","Hurdle"
"22/05/2016","13:55","Minding","Curragh","2","4/11","0.36","1.36","1.10","-19.12","270.00","19752.94","1.40","1.36","1.30","1.11","Turf"
"22/05/2016","16:25","Herons Heir","Fakenham","FE","11/8","1.38","2.64","1.40","-46.97","1000.00","37778.79","2.63","2.20","2.10","1.60","Chase"
"23/05/2016","14:00","Navajo War Dance","Ayr","1","8/11","0.73","1.77","1.01","-42.94","1.93","9.04","1.91","1.57","1.67","1.19","Turf"
"23/05/2016","16:30","Spangled","Leicester","1","11/8","1.38","2.36","1.01","-57.20","2.44","3.39","4.50","5.50","3.25","1.37","Turf"
"23/05/2016","17:25","Let's Dance","Sligo","1","1/12","0.08","1.13","1.01","-10.62","1.15","1.77","1.20","1.17","1.17","1.03","Hurdle"
"23/05/2016","19:05","Medici Banchiere","Carlisle","1","4/7","0.57","1.64","1.01","-38.41","1.80","9.76","1.73","1.73","1.73","1.20","Turf"
"23/05/2016","20:55","Cadeau Du Bresil","Sligo","5","3/1","3.00","4.70","3.00","-36.17","1000.00","21176.60","2.50","2.50","2.50","2.10","NHF"
"23/05/2016","21:05","Crombay","Carlisle","6","5/2","2.50","3.97","3.05","-23.17","1000.00","25088.92","2.88","2.75","3.00","2.18","Turf"
"24/05/2016","14:00","Another Bill","Hexham","1","2/9","0.22","1.23","1.01","-17.89","1.90","54.47","1.14","1.33","1.29","1.07","Hurdle"
"24/05/2016","14:45","Guapo Bay","Wolverhampton","2","4/1","4.00","5.90","1.60","-72.88","1000.00","16849.15","4.00","5.00","4.00","1.66","A/W"
"24/05/2016","16:00","Maz Majecc","Hexham","4","2/1","2.00","3.27","2.22","-32.11","1000.00","30481.04","4.50","5.00","3.75","1.50","Chase"
"24/05/2016","16:45","Bayan Kasirga","Wolverhampton","4","7/2","3.50","5.26","5.00","-4.94","370.00","6934.22","3.75","4.00","4.00","1.84","A/W"
"24/05/2016","20:20","Torch","Wetherby","2","13/8","1.63","2.59","1.78","-31.27","1000.00","38510.04","2.75","2.50","2.50","1.25","Turf"
"25/05/2016","15:05","Classy Anne","Hamilton","4","15/8","1.88","2.99","2.04","-31.77","1000.00","33344.82","3.75","3.50","3.00","1.45","Turf"
"25/05/2016","16:35","Barren Brook","Lingfield","2","1/2","0.50","1.62","1.50","-7.41","1000.00","61628.40","1.67","1.44","1.44","1.17","Turf"
"25/05/2016","17:35","Rockliffe","Lingfield","7","9/2","4.50","6.59","5.30","-19.58","1000.00","15074.51","6.00","7.00","7.00","2.27","Turf"
