"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"15/05/2016","14:35","The Brock Inn","Killarney","4","6/1","6.00","8.20","4.90","-40.24","1000.00","12095.12","9.00","11.00","11.00","2.54","Hurdle"
"15/05/2016","15:00","Areyoutheway","Ripon","3","7/2","3.50","5.16","4.80","-6.98","1000.00","19279.84","4.00","4.00","4.50","2.50","Turf"
"15/05/2016","15:15","Baku Bay","Market Rasen","1","3/1","3.00","4.27","1.01","-76.35","60.00","1305.15","4.50","4.00","3.75","2.61","Chase"
"15/05/2016","15:40","Tempo Mac","Killarney","11","8/1","8.00","13.00","8.20","-36.92","300.00","2207.69","6.00","6.50","7.00","3.35","Hurdle"
"15/05/2016","16:10","Edgar Balthazar","Ripon","5","5/1","5.00","7.43","3.00","-59.62","1000.00","13358.95","13.00","9.00","8.50","2.07","Turf"
"15/05/2016","16:45","Robinnielly","Ripon","2","2/1","2.00","3.33","1.80","-45.95","1000.00","29930.03","10.00","6.00","5.00","1.50","Turf"
"15/05/2016","16:55","Flaming Gorge","Market Rasen","3","9/4","2.25","3.31","2.38","-28.10","1000.00","30111.48","5.00","4.50","4.00","2.04","Chase"
"16/05/2016","17:20","Improver","Killarney","4","15/8","1.88","2.91","1.31","-54.98","1000.00","34264.26","5.00","4.50","5.50","1.40","Hurdle"
"16/05/2016","18:40","Bahamian C","Leicester","10","11/1","11.00","13.75","12.50","-9.09","1000.00","7172.73","9.00","15.00","11.00","4.17","Turf"
"16/05/2016","18:50","Aimin For Anna","Killarney","3","9/4","2.25","3.40","3.20","-5.88","1000.00","29311.76","6.00","6.00","4.50","1.48","Hurdle"
"16/05/2016","20:00","Barwick","Windsor","3","3/1","3.00","4.36","2.68","-38.53","1000.00","22835.78","3.75","3.50","3.75","2.33","Turf"
"16/05/2016","20:10","Chester Street","Leicester","3","11/10","1.10","2.14","1.70","-20.56","340.00","15787.85","6.00","3.50","2.63","1.34","Turf"
"16/05/2016","20:20","Character Actor","Killarney","4","8/1","8.00","11.00","2.78","-74.73","1000.00","8990.91","7.00","5.50","6.00","2.54","Chase"
